id,title,description,difficulty_level,created_at,updated_at,examples,constraints,test_cases
190,Subset Sum,"Given a set of non-negative integers, and a value sum, determine if there is a subset of the given set with sum equal to given sum. Return 1 if such a subset exists, otherwise return 0.",Easy,2025-03-16T17:04:11.822791+00:00,2025-03-16T17:04:11.822791+00:00,"[{""input"": {""set"": [3, 34, 4, 12, 5, 2], ""sum"": 9}, ""output"": 1}, {""input"": {""set"": [3, 34, 4, 12, 5, 2], ""sum"": 30}, ""output"": 0}]","[""0 \u2264 sum \u2264 100"", ""0 \u2264 set[i] \u2264 100"", ""1 \u2264 set.length \u2264 10""]","[{""input"": {""set"": [3, 34, 4, 12, 5, 2], ""sum"": 9}, ""expected_output"": 1}, {""input"": {""set"": [3, 34, 4, 12, 5, 2], ""sum"": 30}, ""expected_output"": 0}, {""input"": {""set"": [1, 2, 3, 4, 5], ""sum"": 10}, ""expected_output"": 1}, {""input"": {""set"": [1, 2, 3, 4, 5], ""sum"": 100}, ""expected_output"": 0}, {""input"": {""set"": [2, 4, 6, 8], ""sum"": 6}, ""expected_output"": 1}]"
191,Connected Components Count,"Given n nodes labeled from 0 to n-1 and a list of undirected edges (each edge is a pair of nodes), determine the number of connected components in the graph.",Easy,2025-03-16T17:04:25.234234+00:00,2025-03-16T17:04:25.234234+00:00,"[{""input"": {""n"": 5, ""edges"": [[0, 1], [1, 2], [3, 4]]}, ""output"": 2}, {""input"": {""n"": 5, ""edges"": [[0, 1], [1, 2], [2, 3], [3, 4]]}, ""output"": 1}]","[""0 <= edges[i][0], edges[i][1] < n"", ""0 <= edges.length <= 1000"", ""1 <= n <= 1000""]","[{""input"": {""n"": 5, ""edges"": [[0, 1], [1, 2], [3, 4]]}, ""expected_output"": 2}, {""input"": {""n"": 5, ""edges"": [[0, 1], [1, 2], [2, 3], [3, 4]]}, ""expected_output"": 1}, {""input"": {""n"": 5, ""edges"": [[0, 1], [2, 3], [4, 0]]}, ""expected_output"": 2}, {""input"": {""n"": 10, ""edges"": [[0, 1], [2, 3], [4, 5], [6, 7], [8, 9]]}, ""expected_output"": 5}, {""input"": {""n"": 6, ""edges"": []}, ""expected_output"": 6}]"
192,Range Sum Query - Update a Single Element,"Given an array of integers nums, implement a data structure that supports the following operations:

1.  `update(index, val)`: Updates the element at index `index` to `val`.
2.  `sumRange(left, right)`: Returns the sum of the elements in the range `[left, right]` inclusive.

You are required to use a Binary Indexed Tree (Fenwick Tree) to efficiently implement these operations. For this problem, you only need to implement the update operation and a helper function to calculate the prefix sum. Return 1 if the update was successful, otherwise return 0 (if index is out of bounds).",Easy,2025-03-16T17:04:53.229981+00:00,2025-03-16T17:04:53.229981+00:00,"[{""input"": {""val"": 10, ""nums"": [1, 2, 3, 4, 5], ""index"": 2}, ""output"": 1}, {""input"": {""val"": 0, ""nums"": [5, 4, 3, 2, 1], ""index"": 0}, ""output"": 1}]","[""-10^5 <= val <= 10^5"", ""0 <= index < nums.length"", ""-10^5 <= nums[i] <= 10^5"", ""1 <= nums.length <= 10^4""]","[{""input"": {""val"": 10, ""nums"": [1, 2, 3, 4, 5], ""index"": 2}, ""expected_output"": 1}, {""input"": {""val"": 0, ""nums"": [5, 4, 3, 2, 1], ""index"": 0}, ""expected_output"": 1}, {""input"": {""val"": -5, ""nums"": [1, 2, 3, 4, 5], ""index"": 4}, ""expected_output"": 1}, {""input"": {""val"": 25, ""nums"": [10, 20, 30], ""index"": 1}, ""expected_output"": 1}, {""input"": {""val"": 100, ""nums"": [1], ""index"": 0}, ""expected_output"": 1}]"
193,BST Range Sum,"Given the root node of a binary search tree and two integers low and high, return the sum of values of all nodes with a value in the inclusive range [low, high]. Return 0 if the root is null.",Medium,2025-03-16T17:05:08.784703+00:00,2025-03-16T17:05:08.784703+00:00,"[{""input"": {""low"": 7, ""high"": 15, ""root"": {""val"": 10, ""left"": {""val"": 5, ""left"": {""val"": 3, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}, ""right"": {""val"": 15, ""left"": null, ""right"": {""val"": 18, ""left"": null, ""right"": null}}}}, ""output"": 32}, {""input"": {""low"": 6, ""high"": 10, ""root"": {""val"": 10, ""left"": {""val"": 5, ""left"": {""val"": 3, ""left"": {""val"": 1, ""left"": null, ""right"": null}, ""right"": null}, ""right"": {""val"": 7, ""left"": {""val"": 6, ""left"": null, ""right"": null}, ""right"": null}}, ""right"": {""val"": 15, ""left"": {""val"": 13, ""left"": null, ""right"": null}, ""right"": {""val"": 18, ""left"": null, ""right"": null}}}}, ""output"": 23}]","[""All Node.val are unique."", ""1 <= low <= high <= 10^5"", ""1 <= Node.val <= 10^5"", ""The number of nodes in the tree is in the range [1, 2 * 10^4].""]","[{""input"": {""low"": 7, ""high"": 15, ""root"": {""val"": 10, ""left"": {""val"": 5, ""left"": {""val"": 3, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}, ""right"": {""val"": 15, ""left"": null, ""right"": {""val"": 18, ""left"": null, ""right"": null}}}}, ""expected_output"": 32}, {""input"": {""low"": 6, ""high"": 10, ""root"": {""val"": 10, ""left"": {""val"": 5, ""left"": {""val"": 3, ""left"": {""val"": 1, ""left"": null, ""right"": null}, ""right"": null}, ""right"": {""val"": 7, ""left"": {""val"": 6, ""left"": null, ""right"": null}, ""right"": null}}, ""right"": {""val"": 15, ""left"": {""val"": 13, ""left"": null, ""right"": null}, ""right"": {""val"": 18, ""left"": null, ""right"": null}}}}, ""expected_output"": 23}, {""input"": {""low"": 1, ""high"": 1, ""root"": {""val"": 1, ""left"": null, ""right"": null}}, ""expected_output"": 1}, {""input"": {""low"": 1, ""high"": 10, ""root"": null}, ""expected_output"": 0}, {""input"": {""low"": 1, ""high"": 10, ""root"": {""val"": 5, ""left"": {""val"": 3, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}}, ""expected_output"": 15}]"
194,Course Scheduling with Prerequisites and Minimum Semester Requirement,"You are given n courses labeled from 0 to n-1. You are also given a list of prerequisites where prerequisites[i] = [ai, bi] indicates that you must take course bi first if you want to take course ai. You are also given an integer k, representing the minimum number of semesters required to complete all courses. Each course takes exactly one semester. You can take any number of courses in a single semester as long as all prerequisites for the courses are met. Determine if it is possible to finish all courses in at least k semesters. Return 1 if it is possible, otherwise return 0.",Hard,2025-03-16T17:05:27.077535+00:00,2025-03-16T17:05:27.077535+00:00,"[{""input"": {""k"": 2, ""n"": 2, ""prerequisites"": [[1, 0]]}, ""output"": 1}, {""input"": {""k"": 1, ""n"": 3, ""prerequisites"": [[1, 0], [2, 1]]}, ""output"": 0}]","[""1 <= k <= n"", ""ai != bi"", ""0 <= ai, bi < n"", ""prerequisites[i].length == 2"", ""0 <= prerequisites.length <= 5000"", ""1 <= n <= 2000""]","[{""input"": {""k"": 2, ""n"": 2, ""prerequisites"": [[1, 0]]}, ""expected_output"": 1}, {""input"": {""k"": 1, ""n"": 3, ""prerequisites"": [[1, 0], [2, 1]]}, ""expected_output"": 0}, {""input"": {""k"": 2, ""n"": 4, ""prerequisites"": [[1, 0], [2, 0], [3, 1], [3, 2]]}, ""expected_output"": 1}, {""input"": {""k"": 4, ""n"": 4, ""prerequisites"": [[1, 0], [2, 0], [3, 1], [3, 2]]}, ""expected_output"": 1}, {""input"": {""k"": 5, ""n"": 5, ""prerequisites"": [[0, 1], [1, 2], [2, 3], [3, 4]]}, ""expected_output"": 1}, {""input"": {""k"": 1, ""n"": 3, ""prerequisites"": []}, ""expected_output"": 0}, {""input"": {""k"": 3, ""n"": 3, ""prerequisites"": []}, ""expected_output"": 1}]"
195,Is Power of Four,"Given an integer n, return 1 if it is a power of four. Otherwise, return 0.",Easy,2025-03-16T17:05:38.621881+00:00,2025-03-16T17:05:38.621881+00:00,"[{""input"": {""n"": 16}, ""output"": 1}, {""input"": {""n"": 5}, ""output"": 0}]","[""-2^31 <= n <= 2^31 - 1""]","[{""input"": {""n"": 16}, ""expected_output"": 1}, {""input"": {""n"": 5}, ""expected_output"": 0}, {""input"": {""n"": 1}, ""expected_output"": 1}, {""input"": {""n"": 64}, ""expected_output"": 1}, {""input"": {""n"": 0}, ""expected_output"": 0}]"
196,Contains Duplicate,"Given an array of integers nums, return 1 if any value appears at least twice in the array, and return 0 if every element is distinct.",Easy,2025-03-16T17:05:50.606782+00:00,2025-03-16T17:05:50.606782+00:00,"[{""input"": {""nums"": [1, 2, 3, 1]}, ""output"": 1}, {""input"": {""nums"": [1, 2, 3, 4]}, ""output"": 0}]","[""-10^9 <= nums[i] <= 10^9"", ""1 <= nums.length <= 10^5""]","[{""input"": {""nums"": [1, 2, 3, 1]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 1, 1, 3, 3, 4, 3, 2, 4, 2]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3]}, ""expected_output"": 0}, {""input"": {""nums"": [1]}, ""expected_output"": 0}]"
197,Connected Components,"Given n nodes labeled from 0 to n-1 and a list of undirected edges (pairs of nodes), determine the number of connected components in the graph.",Easy,2025-03-16T17:06:03.142042+00:00,2025-03-16T17:06:03.142042+00:00,"[{""input"": {""n"": 5, ""edges"": [[0, 1], [1, 2], [3, 4]]}, ""output"": 2}, {""input"": {""n"": 5, ""edges"": [[0, 1], [1, 2], [2, 3], [3, 4]]}, ""output"": 1}]","[""edges[i][0] != edges[i][1]"", ""0 <= edges[i][0], edges[i][1] < n"", ""edges[i].length == 2"", ""0 <= edges.length <= n * (n - 1) / 2"", ""1 <= n <= 100""]","[{""input"": {""n"": 5, ""edges"": [[0, 1], [1, 2], [3, 4]]}, ""expected_output"": 2}, {""input"": {""n"": 5, ""edges"": [[0, 1], [1, 2], [2, 3], [3, 4]]}, ""expected_output"": 1}, {""input"": {""n"": 5, ""edges"": [[0, 1], [2, 3], [4, 0]]}, ""expected_output"": 1}, {""input"": {""n"": 6, ""edges"": [[0, 1], [0, 2], [3, 4], [5, 1]]}, ""expected_output"": 2}, {""input"": {""n"": 3, ""edges"": []}, ""expected_output"": 3}]"
198,Prime Factor Sum,"Given an integer n, return 1 if the sum of its prime factors (with repetition) is a prime number, otherwise return 0. Note: If n is 1, return 0.",Medium,2025-03-16T17:06:24.730983+00:00,2025-03-16T17:06:24.730983+00:00,"[{""input"": {""n"": 12}, ""output"": 1}, {""input"": {""n"": 10}, ""output"": 0}]","[""1 \u2264 n \u2264 10^5""]","[{""input"": {""n"": 12}, ""expected_output"": 1}, {""input"": {""n"": 10}, ""expected_output"": 0}, {""input"": {""n"": 1}, ""expected_output"": 0}, {""input"": {""n"": 7}, ""expected_output"": 1}, {""input"": {""n"": 14}, ""expected_output"": 1}]"
199,Array Partitioning,"Given an array of integers, determine if it is possible to partition the array into two subarrays such that the sum of elements in both subarrays is equal. Return 1 if it is possible, otherwise return 0.",Medium,2025-03-16T17:06:36.403412+00:00,2025-03-16T17:06:36.403412+00:00,"[{""input"": {""nums"": [1, 5, 11, 5]}, ""output"": 1}, {""input"": {""nums"": [1, 2, 3, 5]}, ""output"": 0}]","[""1 \u2264 nums[i] \u2264 10^3"", ""1 \u2264 nums.length \u2264 10^4""]","[{""input"": {""nums"": [1, 5, 11, 5]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 5]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2, 3, 0]}, ""expected_output"": 1}, {""input"": {""nums"": [2, 2, 2, 2]}, ""expected_output"": 1}, {""input"": {""nums"": [10, 4, 6, 3, 7, 9, 2]}, ""expected_output"": 1}]"
200,Range Update Range Query with Lazy Propagation,"You are given an array of integers `nums` of size `n` and a series of update and query operations. You need to implement a segment tree with lazy propagation to efficiently handle these operations. The update operation involves adding a value `val` to all elements within a given range `[l, r]`. The query operation involves finding the sum of all elements within a given range `[l, r]`. Your task is to implement the `updateRange` and `queryRange` functions. Return 1 if all queries return the correct result, otherwise return 0.",Hard,2025-03-16T17:07:37.067904+00:00,2025-03-16T17:07:37.067904+00:00,"[{""input"": {""nums"": [1, 2, 3, 4, 5], ""queries"": [{""l"": 0, ""r"": 4}, {""l"": 1, ""r"": 3}], ""updates"": [{""l"": 0, ""r"": 2, ""val"": 1}, {""l"": 2, ""r"": 4, ""val"": 2}], ""expected_results"": [21, 12]}, ""output"": 1}, {""input"": {""nums"": [5, 2, 8, 1, 9], ""queries"": [{""l"": 0, ""r"": 4}, {""l"": 2, ""r"": 2}], ""updates"": [{""l"": 1, ""r"": 3, ""val"": 3}], ""expected_results"": [36, 11]}, ""output"": 1}]","[""-10^5 <= val <= 10^5 for all updates"", ""0 \u2264 l \u2264 r < n for all updates and queries"", ""1 \u2264 number of queries \u2264 10^3"", ""1 \u2264 number of updates \u2264 10^3"", ""-10^9 \u2264 nums[i] \u2264 10^9"", ""1 \u2264 n \u2264 10^5""]","[{""input"": {""nums"": [1, 2, 3, 4, 5], ""queries"": [{""l"": 0, ""r"": 4}, {""l"": 1, ""r"": 3}], ""updates"": [{""l"": 0, ""r"": 2, ""val"": 1}, {""l"": 2, ""r"": 4, ""val"": 2}], ""expected_results"": [21, 12]}, ""expected_output"": 1}, {""input"": {""nums"": [5, 2, 8, 1, 9], ""queries"": [{""l"": 0, ""r"": 4}, {""l"": 2, ""r"": 2}], ""updates"": [{""l"": 1, ""r"": 3, ""val"": 3}], ""expected_results"": [36, 11]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""queries"": [{""l"": 0, ""r"": 4}], ""updates"": [], ""expected_results"": [15]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 1, 1, 1, 1], ""queries"": [{""l"": 0, ""r"": 4}], ""updates"": [{""l"": 0, ""r"": 4, ""val"": 10}], ""expected_results"": [55]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""queries"": [{""l"": 0, ""r"": 4}], ""updates"": [{""l"": 0, ""r"": 4, ""val"": -1}], ""expected_results"": [10]}, ""expected_output"": 1}]"
201,AVL Tree Height Balance,"Given the root of a binary tree, determine if it is an AVL tree. An AVL tree is a self-balancing binary search tree in which the heights of the two child subtrees of any node differ by at most one; if at any time they differ by more than one, rebalancing is done to restore this property. Return 1 if the tree is an AVL tree, and 0 otherwise.",Medium,2025-03-16T17:08:27.469656+00:00,2025-03-16T17:08:27.469656+00:00,"[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": {""val"": 5, ""left"": null, ""right"": null}}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 3, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": null}, ""right"": null}}, ""output"": 0}]","[""-10^4 <= Node.val <= 10^4"", ""The number of nodes in the tree is in the range [0, 10^4].""]","[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": {""val"": 5, ""left"": null, ""right"": null}}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": {""val"": 3, ""left"": {""val"": 4, ""left"": null, ""right"": null}, ""right"": null}, ""right"": null}, ""right"": null}}, ""expected_output"": 0}, {""input"": {""root"": null}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": null, ""right"": null}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": null}}, ""expected_output"": 1}]"
202,Red-Black Tree Contains,"Given a sorted array of integers representing the keys to be inserted into a Red-Black Tree and a target integer, return 1 if the target integer exists in the Red-Black Tree after inserting all keys, otherwise return 0. Assume insertion is done in the order of the array.",Easy,2025-03-16T17:08:46.807295+00:00,2025-03-16T17:08:46.807295+00:00,"[{""input"": {""keys"": [10, 20, 30, 40, 50], ""target"": 30}, ""output"": 1}, {""input"": {""keys"": [5, 10, 15, 20, 25], ""target"": 12}, ""output"": 0}]","[""keys is sorted in ascending order"", ""-1000 \u2264 target \u2264 1000"", ""-1000 \u2264 keys[i] \u2264 1000"", ""1 \u2264 keys.length \u2264 100""]","[{""input"": {""keys"": [10, 20, 30, 40, 50], ""target"": 30}, ""expected_output"": 1}, {""input"": {""keys"": [5, 10, 15, 20, 25], ""target"": 12}, ""expected_output"": 0}, {""input"": {""keys"": [1, 2, 3, 4, 5], ""target"": 5}, ""expected_output"": 1}, {""input"": {""keys"": [2, 4, 6, 8, 10], ""target"": 7}, ""expected_output"": 0}, {""input"": {""keys"": [100], ""target"": 100}, ""expected_output"": 1}]"
203,Range Sum Query with Updates,"You are given an integer array nums. You need to implement two functions:

1. update(i, val): Updates the element at index i to val.
2. sumRange(i, j): Returns the sum of elements nums[i] through nums[j] (i ≤ j) inclusive.

Return 1 if the updates and sumRange operations are performed correctly according to a given sequence of operations and expected results, otherwise return 0. For simplicity, you will be given the initial array nums, a list of update operations (index and value), a list of sumRange queries (start and end indices), and a list of expected sum results. Assume the operations are performed in the order they are given.",Medium,2025-03-16T17:09:01.618227+00:00,2025-03-16T17:09:01.618227+00:00,"[{""input"": {""nums"": [1, 3, 5], ""queries"": [[0, 2]], ""updates"": [[1, 2]], ""expected_sums"": [8]}, ""output"": 1}, {""input"": {""nums"": [1, 3, 5], ""queries"": [[0, 2], [1, 2]], ""updates"": [[0, 10]], ""expected_sums"": [18, 8]}, ""output"": 1}]","[""Number of queries <= 10^3"", ""Number of updates <= 10^3"", ""0 <= i <= j < nums.length"", ""-1000 <= nums[i] <= 1000"", ""1 <= nums.length <= 10^4""]","[{""input"": {""nums"": [1, 3, 5], ""queries"": [[0, 2]], ""updates"": [[1, 2]], ""expected_sums"": [8]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 3, 5], ""queries"": [[0, 2], [1, 2]], ""updates"": [[0, 10]], ""expected_sums"": [18, 8]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 3, 5], ""queries"": [[0, 2]], ""updates"": [[1, 2]], ""expected_sums"": [9]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 3, 5], ""queries"": [[0, 2]], ""updates"": [[0, 10], [2, 1]], ""expected_sums"": [14]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2, 3, 4, 5], ""queries"": [[1, 3], [2, 4]], ""updates"": [[0, 3], [4, 1]], ""expected_sums"": [9, 8]}, ""expected_output"": 1}]"
204,Maximum Path Sum in Binary Tree (Recursive),"Given a non-empty binary tree, find the maximum path sum. For this problem, a path is defined as any sequence of nodes from some starting node to any node in the tree along the parent-child connections. The path must contain at least one node and does not need to go through the root.",Hard,2025-03-16T17:09:22.460833+00:00,2025-03-16T17:09:22.460833+00:00,"[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""output"": 6}, {""input"": {""root"": {""val"": -10, ""left"": {""val"": 9, ""left"": null, ""right"": null}, ""right"": {""val"": 20, ""left"": {""val"": 15, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}}}, ""output"": 42}]","[""-1000 <= Node.val <= 1000"", ""The number of nodes in the tree is in the range [1, 3 * 10^4].""]","[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""expected_output"": 6}, {""input"": {""root"": {""val"": -10, ""left"": {""val"": 9, ""left"": null, ""right"": null}, ""right"": {""val"": 20, ""left"": {""val"": 15, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}}}, ""expected_output"": 42}, {""input"": {""root"": {""val"": -3, ""left"": null, ""right"": null}}, ""expected_output"": -3}, {""input"": {""root"": {""val"": 2, ""left"": {""val"": -1, ""left"": null, ""right"": null}, ""right"": null}}, ""expected_output"": 2}, {""input"": {""root"": {""val"": 5, ""left"": {""val"": 4, ""left"": {""val"": 11, ""left"": {""val"": 7, ""left"": null, ""right"": null}, ""right"": {""val"": 2, ""left"": null, ""right"": null}}, ""right"": null}, ""right"": {""val"": 8, ""left"": {""val"": 13, ""left"": null, ""right"": null}, ""right"": {""val"": 4, ""left"": null, ""right"": {""val"": 1, ""left"": null, ""right"": null}}}}}, ""expected_output"": 48}]"
214,Maximum Subarray Sum with Divide and Conquer,"Given an array of integers, find the contiguous subarray (containing at least one number) which has the largest sum and return that sum. Implement the solution using the Divide and Conquer approach. If the maximum sum is negative, return 0.",Hard,2025-03-16T17:13:22.184639+00:00,2025-03-16T17:13:22.184639+00:00,"[{""input"": {""nums"": [-2, 1, -3, 4, -1, 2, 1, -5, 4]}, ""output"": 6}, {""input"": {""nums"": [-1, -2, -3]}, ""output"": 0}]","[""-10^5 \u2264 nums[i] \u2264 10^5"", ""1 \u2264 nums.length \u2264 10^5""]","[{""input"": {""nums"": [-2, 1, -3, 4, -1, 2, 1, -5, 4]}, ""expected_output"": 6}, {""input"": {""nums"": [1]}, ""expected_output"": 1}, {""input"": {""nums"": [-1, -2, -3]}, ""expected_output"": 0}, {""input"": {""nums"": [5, 4, -1, 7, 8]}, ""expected_output"": 23}, {""input"": {""nums"": [-100000]}, ""expected_output"": 0}]"
590,Perfect Square Check (Binary Search),"Given a positive integer num, determine if it is a perfect square. Return 1 if num is a perfect square, otherwise return 0. You must use binary search to solve this problem.",Easy,2025-03-18T12:25:57.218734+00:00,2025-03-18T12:25:57.218734+00:00,"[{""input"": {""num"": 16}, ""output"": 1}, {""input"": {""num"": 14}, ""output"": 0}]","[""1 \u2264 num \u2264 10^9""]","[{""input"": {""num"": 28}, ""expected_output"": 0}, {""input"": {""num"": 16}, ""expected_output"": 1}, {""input"": {""num"": 14}, ""expected_output"": 0}, {""input"": {""num"": 1}, ""expected_output"": 1}, {""input"": {""num"": 25}, ""expected_output"": 1}]"
205,Contains Value in Linked List,"Given the head of a singly linked list and an integer target, return 1 if the linked list contains the target value, otherwise return 0.",Easy,2025-03-16T17:09:45.579739+00:00,2025-03-16T17:09:45.579739+00:00,"[{""input"": {""head"": [1, 2, 3, 4, 5], ""target"": 3}, ""output"": 1}, {""input"": {""head"": [1, 2, 3, 4, 5], ""target"": 6}, ""output"": 0}]","[""-100 <= target <= 100"", ""-100 <= Node.val <= 100"", ""The number of nodes in the list is in the range [0, 100].""]","[{""input"": {""head"": [1, 2, 3, 4, 5], ""target"": 3}, ""expected_output"": 1}, {""input"": {""head"": [1, 2, 3, 4, 5], ""target"": 6}, ""expected_output"": 0}, {""input"": {""head"": [], ""target"": 1}, ""expected_output"": 0}, {""input"": {""head"": [5, 5, 5, 5], ""target"": 5}, ""expected_output"": 1}, {""input"": {""head"": [1], ""target"": 1}, ""expected_output"": 1}]"
206,Minimum Bottleneck Spanning Tree Existence,"Given a weighted, undirected graph represented by a list of edges and a maximum bottleneck value 'B', determine if there exists a Minimum Spanning Tree (MST) where the weight of the heaviest edge in the MST is less than or equal to 'B'. The graph is represented as a list of tuples, where each tuple (u, v, w) represents an edge between nodes u and v with weight w. Return 1 if such an MST exists, and 0 otherwise.",Hard,2025-03-16T17:10:15.265440+00:00,2025-03-16T17:10:15.265440+00:00,"[{""input"": {""B"": 6, ""edges"": [[0, 1, 10], [0, 2, 6], [0, 3, 5], [1, 3, 15], [2, 3, 4]], ""num_nodes"": 4}, ""output"": 1}, {""input"": {""B"": 4, ""edges"": [[0, 1, 10], [0, 2, 6], [0, 3, 5], [1, 3, 15], [2, 3, 4]], ""num_nodes"": 4}, ""output"": 0}]","[""1 <= B <= 1000"", ""1 <= w <= 1000"", ""0 <= u, v < num_nodes"", ""0 <= number of edges <= num_nodes * (num_nodes - 1) / 2"", ""1 <= num_nodes <= 100""]","[{""input"": {""B"": 6, ""edges"": [[0, 1, 10], [0, 2, 6], [0, 3, 5], [1, 3, 15], [2, 3, 4]], ""num_nodes"": 4}, ""expected_output"": 1}, {""input"": {""B"": 4, ""edges"": [[0, 1, 10], [0, 2, 6], [0, 3, 5], [1, 3, 15], [2, 3, 4]], ""num_nodes"": 4}, ""expected_output"": 0}, {""input"": {""B"": 8, ""edges"": [[0, 1, 5], [0, 2, 8], [1, 2, 9], [1, 3, 11], [2, 4, 7], [3, 4, 6]], ""num_nodes"": 5}, ""expected_output"": 1}, {""input"": {""B"": 2, ""edges"": [[0, 1, 1], [1, 2, 2], [0, 2, 3]], ""num_nodes"": 3}, ""expected_output"": 1}, {""input"": {""B"": 5, ""edges"": [[0, 1, 2], [0, 2, 3], [1, 2, 4], [1, 3, 5], [2, 4, 6], [3, 5, 7], [4, 5, 8]], ""num_nodes"": 6}, ""expected_output"": 1}]"
207,Maximum Non-Overlapping Activities,"Given a set of activities, each with a start and finish time, determine the maximum number of non-overlapping activities that can be performed. Return the count of these activities.",Hard,2025-03-16T17:10:32.495962+00:00,2025-03-16T17:10:32.495962+00:00,"[{""input"": {""activities"": [{""start"": 1, ""finish"": 2}, {""start"": 3, ""finish"": 4}, {""start"": 0, ""finish"": 6}, {""start"": 5, ""finish"": 7}, {""start"": 8, ""finish"": 9}, {""start"": 5, ""finish"": 9}]}, ""output"": 4}, {""input"": {""activities"": [{""start"": 1, ""finish"": 4}, {""start"": 3, ""finish"": 5}, {""start"": 0, ""finish"": 6}, {""start"": 5, ""finish"": 7}, {""start"": 8, ""finish"": 9}, {""start"": 5, ""finish"": 9}]}, ""output"": 4}]","[""start time < finish time"", ""0 <= finish time <= 10^9"", ""0 <= start time <= 10^9"", ""1 <= number of activities <= 10^5""]","[{""input"": {""activities"": [{""start"": 1, ""finish"": 2}, {""start"": 3, ""finish"": 4}, {""start"": 0, ""finish"": 6}, {""start"": 5, ""finish"": 7}, {""start"": 8, ""finish"": 9}, {""start"": 5, ""finish"": 9}]}, ""expected_output"": 4}, {""input"": {""activities"": [{""start"": 1, ""finish"": 4}, {""start"": 3, ""finish"": 5}, {""start"": 0, ""finish"": 6}, {""start"": 5, ""finish"": 7}, {""start"": 8, ""finish"": 9}, {""start"": 5, ""finish"": 9}]}, ""expected_output"": 4}, {""input"": {""activities"": [{""start"": 10, ""finish"": 12}, {""start"": 1, ""finish"": 11}]}, ""expected_output"": 1}, {""input"": {""activities"": []}, ""expected_output"": 0}, {""input"": {""activities"": [{""start"": 1, ""finish"": 3}, {""start"": 2, ""finish"": 4}, {""start"": 3, ""finish"": 5}, {""start"": 4, ""finish"": 6}]}, ""expected_output"": 2}]"
208,Maximum Water Container Area,"Given n non-negative integers a1, a2, ..., an, where each represents a point at coordinate (i, ai). n vertical lines are drawn such that the two endpoints of line i is at (i, ai) and (i, 0). Find two lines, which together with x-axis forms a container, such that the container contains the most water.

Return 1 if the area exists, otherwise return 0. The area must be greater than 0.",Hard,2025-03-16T17:10:55.481768+00:00,2025-03-16T17:10:55.481768+00:00,"[{""input"": {""heights"": [1, 8, 6, 2, 5, 4, 8, 3, 7]}, ""output"": 1}, {""input"": {""heights"": [1, 1]}, ""output"": 1}]","[""0 <= heights[i] <= 10^4"", ""2 <= n <= 10^5"", ""n == heights.length""]","[{""input"": {""heights"": [1, 8, 6, 2, 5, 4, 8, 3, 7]}, ""expected_output"": 1}, {""input"": {""heights"": [1, 1]}, ""expected_output"": 1}, {""input"": {""heights"": [4, 3, 2, 1, 4]}, ""expected_output"": 1}, {""input"": {""heights"": [1, 2, 1]}, ""expected_output"": 1}, {""input"": {""heights"": [0, 2]}, ""expected_output"": 1}]"
